brand,rating
8Greens,2.8333333333333335
AERIN,4.204545454545454
ALTERNA Haircare,4.226190476190476
AMOREPACIFIC,3.984848484848485
Acqua Di Parma,3.4857142857142858
Aether Beauty,5.0
Algenist,4.201923076923077
Alpha-H,4.423076923076923
Anastasia Beverly Hills,4.192857142857143
Anthony,4.464285714285714
Antonym,3.6666666666666665
Aquis,4.4
Armani Beauty,4.110169491525424
Artis,4.05
Artist Couture,4.1875
Atelier Cologne,3.7450980392156863
BALENCIAGA,4.5
BECCA,4.069444444444445
BERDOUES,4.25
BURBERRY,4.2592592592592595
BVLGARI,4.18
Beachwaver,3.5
BeautyBio,4.083333333333333
Benefit Cosmetics,3.9623655913978495
Better Not Younger,4.607142857142857
Bio Ionic,4.333333333333333
Biossance,4.190476190476191
Bite Beauty,3.7083333333333335
Black Up,3.3
Blinc,4.0
Bobbi Brown,4.243243243243243
Briogeo,3.9183673469387754
Bumble and bumble,3.793269230769231
Buxom,4.25
By Rosie Jane,3.880952380952381
Bésame Cosmetics,3.5
CHANEL,4.471153846153846
CLEAN RESERVE,3.97
CLINIQUE,3.927350427350427
COOLA,3.8035714285714284
COVER FX,3.9615384615384617
Calvin Klein,4.388888888888889
Capri Blue,2.59375
Carolina Herrera,4.625
Caudalie,4.008771929824562
Cellu-cup,3.5
Charlotte Tilbury,3.9266666666666667
Chloé,4.261904761904762
Christian Louboutin,4.041666666666667
Christophe Robin,4.0131578947368425
Ciaté London,4.068181818181818
Cinema Secrets,4.363636363636363
Clarins,4.054545454545455
Clarisonic Skincare,4.130434782608695
Coal and Canary,3.75
Cocofloss,4.5
Commodity,4.0
Comptoir Sud Pacifique,4.4375
Conture,3.5
Crushed Tonic,4.5
DEREK LAM 10 CROSBY,4.1
DERMAFLASH,4.166666666666667
DL.MD,4.0
DOLCE&GABBANA,4.27027027027027
DOMINIQUE COSMETICS,4.055555555555555
DUO,4.25
Deborah Lippmann,3.847826086956522
Dermalogica,4.21875
DevaCurl,3.5
Dior,3.9931034482758623
Donna Karan,4.1875
Dr Roebuck's,4.190476190476191
Dr. Barbara Sturm,3.8214285714285716
Dr. Brandt Skincare,4.053571428571429
Dr. Dennis Gross Skincare,4.033333333333333
Dr. Jart+,3.861111111111111
Drunk Elephant,4.203125
Drybar,3.810344827586207
ELLIS BROOKLYN,4.103448275862069
Earth’s Nectar,3.75
Edible Beauty,4.458333333333333
Eight & Bob,2.3333333333333335
Elizabeth and James,4.071428571428571
Erborian,4.214285714285714
Erno Laszlo,4.214285714285714
Estée Lauder,4.098484848484849
Etat Libre d'Orange,3.0
Eve Lom,3.5555555555555554
Evian,4.5
FARSÁLI,3.9285714285714284
FENTY BEAUTY by Rihanna,3.9411764705882355
FOREO,4.019230769230769
FORM ,3.9545454545454546
Fable & Mane,5.0
Farmacy,4.229166666666667
First Aid Beauty,4.130952380952381
Flora + Bast,4.5
Floral Street,3.9473684210526314
Four Sigmatic,5.0
Fresh,4.173913043478261
GLAMGLOW,4.015151515151516
GLO Science,4.3
Givenchy,4.1118421052631575
Glow Recipe,3.9
Golde,4.875
