brand,love
8Greens,5688
AERIN,75666
ALTERNA Haircare,249460
AMOREPACIFIC,247937
Acqua Di Parma,38380
Aether Beauty,25700
Algenist,383233
Alpha-H,18707
Anastasia Beverly Hills,5990600
Anthony,40919
Antonym,9600
Aquis,54100
Armani Beauty,1121599
Artis,51242
Artist Couture,110200
Atelier Cologne,137856
BALENCIAGA,18100
BECCA,1500014
BERDOUES,17275
BURBERRY,118902
BVLGARI,74513
Beachwaver,2900
BeautyBio,100066
Benefit Cosmetics,2852303
Better Not Younger,10703
Bio Ionic,40182
Biossance,436700
Bite Beauty,238900
Black Up,31100
Blinc,46200
Bobbi Brown,1434143
Briogeo,818949
Bumble and bumble,1019669
Buxom,741700
By Rosie Jane,19341
Bésame Cosmetics,14400
CHANEL,502388
CLEAN RESERVE,143538
CLINIQUE,3138550
COOLA,162234
COVER FX,413400
Calvin Klein,27415
Capri Blue,7877
Carolina Herrera,47037
Caudalie,1049060
Cellu-cup,2400
Charlotte Tilbury,1686200
Chloé,205700
Christian Louboutin,138900
Christophe Robin,221300
Ciaté London,339900
Cinema Secrets,174999
Clarins,341699
Clarisonic Skincare,204484
Coal and Canary,2755
Cocofloss,20600
Commodity,6800
Comptoir Sud Pacifique,27800
Conture,2300
Crushed Tonic,3000
DEREK LAM 10 CROSBY,7003
DERMAFLASH,32800
DL.MD,2000
DOLCE&GABBANA,251529
DOMINIQUE COSMETICS,44000
DUO,64900
Deborah Lippmann,170381
Dermalogica,224434
DevaCurl,297603
Dior,2130377
Donna Karan,34128
Dr Roebuck's,48791
Dr. Barbara Sturm,46394
Dr. Brandt Skincare,330451
Dr. Dennis Gross Skincare,617714
Dr. Jart+,709185
Drunk Elephant,1967900
Drybar,509843
ELLIS BROOKLYN,41626
Earth’s Nectar,28402
Edible Beauty,46600
Eight & Bob,1058
Elizabeth and James,31800
Erborian,114035
Erno Laszlo,49512
Estée Lauder,877827
Etat Libre d'Orange,789
Eve Lom,95903
Evian,51500
FARSÁLI,661500
FENTY BEAUTY by Rihanna,5613710
FOREO,193228
FORM ,22000
Fable & Mane,1619
Farmacy,801900
First Aid Beauty,1139500
Flora + Bast,9200
Floral Street,10665
Four Sigmatic,5200
Fresh,2618461
GLAMGLOW,1037637
GLO Science,100600
Givenchy,599139
Glow Recipe,671000
Golde,3797
Good Dye Young,28192
Google,3900
Grande Cosmetics,178698
Gucci,342667
Guerlain,508721
HERMÈS,104714
HUDA BEAUTY,3449900
HUM Nutrition,271247
Herbivore,742800
High Beauty,6500
Hourglass,2552264
IGK,266608
ILIA,316400
INC.redible,169054
IT Cosmetics,1087334
Indie Lee,89000
Isle of Paradise,151300
JIMMY CHOO,3875
Jack Black,244050
Jillian Dempsey,3400
Jo Malone London,310776
John Varvatos,9006
Josie Maran,682798
Jouer Cosmetics,267700
Juicy Couture,85940
Juliette Has a Gun,116799
KENZOKI,6052
KEVYN AUCOIN,391120
KNC Beauty,7500
KORA Organics,167400
KORRES,16200
KVD Vegan Beauty,4127526
Kaja,421500
Kate Somerville,541163
Kenzo,12927
Kiehl's Since 1851,1179444
Kilian,72531
Kitsch,24965
Klorane,56118
Koh Gen Do,66658
Kopari,234979
Kosas,174700
Kérastase,354629
L'Occitane,333098
LANCER Skincare,102390
LANEIGE,1019600
LASHFOOD,61729
LAVANILA,6824
LAWLESS,95200
LXMI,11700
La Mer,420826
Lab Series For Men,6639
Lancôme,1450765
Laura Mercier,2383698
LightStim ,10300
Lilly Lashes,75253
Living Proof,687859
Lord Jones,34508
Lunar Beauty,9400
MAELYS Cosmetics,17887
MAKE UP FOR EVER,2614305
MDSolarSciences,11800
MILK MAKEUP,1869700
