id,brand,category,name,size,rating,number_of_reviews,love,price,value_price
1056084,Anastasia Beverly Hills,Eyebrow,Brow Wiz,0.003 oz/ 0.085 g,4.5,14000,660000,23,23
2276673,Anastasia Beverly Hills,Eye Palettes,Carli Bybel Eyeshadow Palette,no size,4,329,37700,45,45
1578699,Anastasia Beverly Hills,Eyebrow,DIPBROW™ Pomade,0.14 oz/ 4 g,4.5,10000,504700,21,21
1790534,Anastasia Beverly Hills,Eyebrow,Brow Definer,0.007 oz/ 0.2 g,4,3000,182300,23,23
1012855,Anastasia Beverly Hills,Eyebrow,Clear Brow Gel,0.26 oz/ 7.85 ml,4.5,4000,159800,22,22
929778,Anastasia Beverly Hills,Eyebrow,Brow Powder Duo,0.03 oz/ 2 x 0.8 g,4.5,4000,143000,23,23
2036481,Anastasia Beverly Hills,Eye Palettes,Soft Glam Eyeshadow Palette,no size,4.5,2000,266800,42,42
2182111,Anastasia Beverly Hills,Eyebrow,DIPBROW® Gel,no size,4,743,41200,18,18
764936,Anastasia Beverly Hills,Eyebrow,Perfect Brow Pencil,0.034 oz/ 0.85 g,4.5,2000,47900,23,23
1912120,Anastasia Beverly Hills,Highlighter,Nicole Guerriero Glow Kit,6 x 0.16 oz/ 4.5 g,4.5,1000,95700,40,40
2311314,Anastasia Beverly Hills,Mascara,Lash Brag Volumizing Mascara,no size,4,486,3300,25,25
2270783,Anastasia Beverly Hills,Foundation,Luminous Foundation,1.01 oz/ 30 ml,4,1000,28100,38,38
1578657,Anastasia Beverly Hills,Eye Brushes,Brush #12,no size,4.5,1000,127300,18,18
2224608,Anastasia Beverly Hills,Setting Spray & Powder,Dewy Set Setting Spray,0.4 oz/ 100 mL,4.5,179,26700,26,26
2311306,Anastasia Beverly Hills,Eye Palettes,Amrezy Eyeshadow Palette,no size,4,139,19200,49,49
1908284,Anastasia Beverly Hills,Eye Brushes,Brush #7B,no size,4.5,1000,69600,18,18
1852409,Anastasia Beverly Hills,Foundation,Stick Foundation,0.32 oz/ 9.1 g,3.5,1000,97900,25,25
2311330,Anastasia Beverly Hills,Eyebrow,Clear Brow Gel Mini,0.085 fl oz/ 2.5ml,0,0,8300,9,9
1615186,Anastasia Beverly Hills,Contour,Contour Kit,6 pans x 0.11 oz/ 3.12 g,4,2000,247300,40,40
1852425,Anastasia Beverly Hills,Contour,Contour & Highlight Stick,0.32 oz/ 9.1 g,4,258,11100,25,25
765172,Anastasia Beverly Hills,Tweezers & Eyebrow Tools,Tweezers,no size,4.5,469,24100,28,28
2036408,Anastasia Beverly Hills,Lipstick,Liquid Lipstick,0.11 oz / 3.2 g,4,4000,549000,20,20
829713,Anastasia Beverly Hills,Eyebrow,Tinted Brow Gel,0.32 oz/ 9 g,4,2000,78400,22,22
2270585,Anastasia Beverly Hills,Setting Spray & Powder,Loose Setting Powder,0.9 oz/ 25 g,4.5,746,9900,36,36
2282739,Anastasia Beverly Hills,Eye Palettes,Norvina® Pro Pigment Palette Vol. 3,no size,4.5,101,27900,60,60
2270551,Anastasia Beverly Hills,Eye Palettes,Norvina® Pro Pigment Palette Vol. 1,no size,5,113,28200,60,60
1962695,Anastasia Beverly Hills,Lipstick,Matte Lipstick,.12 oz/ 3.5 g,4.5,818,112900,18,18
1820406,Anastasia Beverly Hills,Eye Palettes,Modern Renaissance Eye Shadow Palette,no size,5,8000,470200,42,42
2278356,Anastasia Beverly Hills,Eye Palettes,Norvina® Pro Pigment Palette Vol. 2,no size,4.5,54,19300,60,60
2182178,Anastasia Beverly Hills,Eyebrow,DIPBROW® Gel - Mini,no size,3.5,206,21000,9,9
1942051,Anastasia Beverly Hills,Cheek Palettes,Blush Trio,0.11 oz/ 3 g,4.5,399,55400,30,30
1941970,Anastasia Beverly Hills,Eyeshadow,Eye Shadow Singles,0.059 oz/ 1.67 g,4.5,687,565200,12,12
2311322,Anastasia Beverly Hills,Mascara,Lash Brag Volumizing Mascara Mini,no size,3.5,5,2500,13,13
1993948,Anastasia Beverly Hills,Highlighter,Sugar Glow Kit,no size,4.5,830,132800,40,40
2093565,Anastasia Beverly Hills,Lip Gloss,Lip Gloss,0.16 oz/ 4.73 mL,4.5,1000,208100,16,16
2289965,Anastasia Beverly Hills,False Eyelashes,Norvina® False Lashes,no size,4.5,356,15100,12,12
2093557,Anastasia Beverly Hills,Eye Palettes,Norvina Eyeshadow Palette,no size,4.5,1000,84500,42,42
1942119,Anastasia Beverly Hills,Bronzer,Powder Bronzer,0.35 oz /10 g,4.5,371,34700,28,28
1118819,Anastasia Beverly Hills,Eyeshadow,Highlighting Duo Pencil,0.18 oz/ 5 g,4.5,480,28800,23,23
1721968,Anastasia Beverly Hills,Eyebrow,Brush #14,no size,4.5,296,40300,18,18
2266302,Anastasia Beverly Hills,Eyeliner,Liquid Liner,0.08 oz/ 2.4 mL,4,679,7500,18,18
2311348,Anastasia Beverly Hills,Eye Palettes,Norvina® Mini Pro Pigment Palette Vol. 3,no size,4.5,27,8500,29,29
2226280,Anastasia Beverly Hills,Eye Primer,Mini Eye Primer,no size,4,364,9400,13,13
1790633,Anastasia Beverly Hills,Highlighter,Sun Dipped Glow Kit,4 x 0.26 oz/ 7.37 g,4.5,2000,221600,40,40
